,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
0,machali,-34.64481672080463,-69.88335410415854,,,,,,,
1,padang,-9.490874881841378,87.20659260267786,82.04,75,38,7.36,ID,1562504482,1633419.0
2,markovo,56.78181630683588,40.22538165225657,86.32,54,0,16.11,BG,1562504998,727921.0
3,busselton,-64.05034008633075,86.12999064575195,52.27,73,3,18.28,AU,1562504999,2075265.0
4,gat,23.750676657667128,12.073141370402737,84.2,62,0,8.05,SN,1562504999,2249901.0
5,albany,-42.6449333331788,114.88108125692509,66.92,59,1,9.17,US,1562504411,5106834.0
6,punta arenas,-81.48501765279518,-122.30375699922982,36.27,100,90,4.7,CL,1562504999,3874787.0
7,saint-philippe,-26.617304567665222,56.44900873464354,65.3,59,1,5.82,CA,1562504999,6138908.0
8,casper,43.818319667926914,-106.43307172931164,51.1,87,1,6.93,US,1562504411,5820705.0
9,ushuaia,-84.33475812273878,-40.213116365872025,35.6,88,20,4.7,AR,1562505000,3833367.0
10,metro,-3.9762195962825615,105.99409112698908,76.46,88,95,4.59,ID,1562504596,1635283.0
11,edmundston,47.28008766015037,-68.5041046236166,61.32,55,1,12.75,CA,1562504486,6545023.0
12,bluff,-78.3080668948746,155.31458123206892,64.4,79,100,18.72,AU,1562505000,2175403.0
13,asau,-7.931577372423817,178.37376074553725,,,,,,,
14,vuktyl,63.845924136416784,57.31679548503172,64.4,51,97,8.95,RU,1562504484,470905.0
15,mutis,5.892990643694247,-78.29957136784576,81.14,80,74,4.94,CO,1562504484,3689325.0
16,airai,13.156121836595489,141.61924755589376,67.46,73,20,5.59,TL,1562504429,1651810.0
17,lasa,32.1277710550705,87.71522456615526,88.02,74,20,12.75,CY,1562504485,146639.0
18,tasiilaq,84.8082461760064,-36.99509766218961,42.8,75,15,6.93,GL,1562504485,3424607.0
19,chitral,35.858765435163434,70.84598980762081,61.88,28,24,9.06,PK,1562504409,1181065.0
20,vila franca do campo,40.32453916550381,-19.25429735891177,69.8,83,75,4.7,PT,1562504486,3372472.0
21,skjervoy,74.86505979469891,20.623060146702926,64.4,45,0,16.11,NO,1562504486,777682.0
22,lagoa,43.96504958436262,-29.04405894227034,72.68,78,20,13.87,PT,1562504486,2267254.0
23,tecoanapa,16.134018821664654,-98.77196695338594,78.8,83,40,4.7,MX,1562504486,3532499.0
24,atuona,7.143266081765418,-132.93735002227427,79.88,80,39,17.81,PF,1562505002,4020109.0
25,tura,64.72997032319182,97.50010265334743,67.1,75,95,11.97,RU,1562504486,2014833.0
26,olga,43.61638892474639,134.63600898796398,62.96,72,90,3.36,US,1562504487,5368361.0
27,benghazi,33.28061844916256,19.314786825648383,82.76,62,0,13.4,LY,1562504421,88319.0
28,yulara,-27.535886491858875,125.67083404070797,60.8,38,0,8.05,AU,1562504487,6355222.0
29,cartagena del chaira,0.9700890200126366,-74.80941848762484,69.8,99,94,2.8,CO,1562504487,3792382.0
30,mar del plata,-60.97962473962656,-37.8753031494868,38.84,73,44,4.47,AR,1562505003,3863379.0
31,sur,22.505820193517962,61.66733065848939,93.56,49,0,7.27,OM,1562504421,286245.0
32,laguna,-47.37131582230206,-27.78731392893951,75.2,94,75,4.7,BZ,1562504413,3581398.0
33,isoka,-10.207861404492462,32.371727311738994,82.4,29,3,4.21,ZM,1562504488,916668.0
34,odweyne,9.257363550048439,45.94869214657831,,,,,,,
35,kaitangata,-75.7094793364052,177.82489613487792,45.0,61,85,20,NZ,1562504488,2208248.0
36,goderich,3.337044170451989,-19.81981686393803,67.21,67,7,8.01,CA,1562504355,5962442.0
37,illoqqortoormiut,76.88514318784195,-20.76689991458747,,,,,,,
38,talara,-5.604625085854124,-85.0367434248188,65.12,88,25,14.14,PE,1562504489,3691582.0
39,nuuk,64.12033810594826,-49.83909819449195,51.8,66,75,8.05,GL,1562505006,3421319.0
40,vaini,-70.59877844434905,-169.1695077775377,73.4,94,75,11.41,IN,1562505006,1273574.0
41,fairbanks,65.59153662749463,-144.69748505189722,60.37,55,90,3.36,US,1562504489,5861897.0
42,nakamura,32.11236531638025,133.70592915211296,78.33,73,75,12.75,JP,1562504489,1856057.0
43,qaanaaq,86.98014234904653,-73.3414721915193,45.68,52,64,7.36,GL,1562505007,3831208.0
44,butaritari,7.341533801749577,163.7734340789671,83.48,74,100,7.54,KI,1562505008,2110227.0
45,cayenne,10.615906067776038,-44.29693543195799,78.8,88,42,3.36,GF,1562504419,3382160.0
46,rikitea,-16.829826535299446,-120.2521153039296,69.62,86,100,28.61,PF,1562505008,4030556.0
47,puerto escondido,5.739939210572942,-100.94775672744464,73.4,83,5,4.7,MX,1562504490,3520994.0
48,tuktoyaktuk,76.65353611836764,-134.37185726509756,35.24,95,99,9.15,CA,1562505008,6170031.0
